,open,close,low,high,volume,money,factor,pre_close
2013-01-28,1890.88,1957.39,1890.88,1958.2,4001193900.0,42903720708.0,1.0,1886.45
2013-01-29,1959.8,1982.62,1950.48,1993.19,4198398900.0,45297085361.0,1.0,1957.39
2013-01-30,1984.92,1989.32,1969.78,1991.66,4025677200.0,40584410387.0,1.0,1982.62
2013-01-31,1992.48,1993.25,1976.7,2000.65,3791741800.0,36693048338.0,1.0,1989.32
2013-02-01,1984.96,2055.72,1979.1,2058.05,4393958000.0,48056952723.0,1.0,1993.25
2013-02-04,2068.02,2065.39,2050.69,2087.93,5508981800.0,60276858401.0,1.0,2055.72
2013-02-05,2044.16,2068.95,2035.37,2076.93,5045680200.0,48274217696.0,1.0,2065.39
2013-02-06,2069.34,2078.49,2063.99,2088.45,3520212600.0,36872236462.0,1.0,2068.95
2013-02-07,2074.48,2048.57,2014.75,2077.48,4349646400.0,46145289824.0,1.0,2078.49
2013-02-08,2044.14,2042.42,2022.89,2061.01,3442460800.0,36099049227.0,1.0,2048.57
2013-02-18,2051.92,2014.58,2013.22,2055.41,3295871900.0,34844945532.0,1.0,2042.42
2013-02-19,2011.39,1981.07,1971.43,2018.91,3131288500.0,33073491879.0,1.0,2014.58
2013-02-20,1982.43,1978.3,1948.7,1984.33,2939731200.0,30302361962.0,1.0,1981.07
2013-02-21,1955.17,1897.9,1876.32,1955.17,4490004000.0,46202057395.0,1.0,1978.3
2013-02-22,1895.43,1883.47,1878.34,1902.66,2556522100.0,27199426483.0,1.0,1897.9
2013-02-25,1893.44,1890.77,1879.84,1912.03,2227133500.0,22677560239.0,1.0,1883.47
2013-02-26,1874.05,1865.13,1863.01,1916.76,3688458000.0,38058465346.0,1.0,1890.77
2013-02-27,1871.43,1889.48,1869.51,1907.2,2866730900.0,28893671352.0,1.0,1865.13
2013-02-28,1906.13,1956.61,1886.74,1957.49,3961108600.0,42105790251.0,1.0,1889.48
2013-03-01,1955.73,1944.42,1911.66,1963.6,3248281400.0,36324799866.0,1.0,1956.61
2013-03-04,1904.43,1841.62,1828.55,1904.95,4813350100.0,49868903303.0,1.0,1944.42
2013-03-05,1844.29,1916.71,1843.16,1917.18,4024232100.0,40861173420.0,1.0,1841.62
2013-03-06,1925.52,1933.7,1907.62,1943.93,3614474500.0,37864531747.0,1.0,1916.71
2013-03-07,1922.93,1902.37,1881.67,1937.95,3246190400.0,35799074128.0,1.0,1933.7
2013-03-08,1906.36,1901.48,1889.38,1917.05,2385834700.0,26080937976.0,1.0,1902.37
2013-03-11,1895.05,1879.82,1867.37,1899.31,1938632700.0,21039587775.0,1.0,1901.48
2013-03-12,1878.54,1854.62,1837.83,1900.36,2837510200.0,28646032758.0,1.0,1879.82
2013-03-13,1853.02,1835.61,1827.65,1860.06,2194698100.0,21872477427.0,1.0,1854.62
2013-03-14,1830.71,1838.36,1824.13,1850.43,2072084900.0,21599515035.0,1.0,1835.61
2013-03-15,1835.61,1841.32,1815.37,1894.25,3832547100.0,38589034136.0,1.0,1838.36
2013-03-18,1829.39,1811.24,1809.44,1841.91,2592728400.0,27458292401.0,1.0,1841.32
2013-03-19,1813.32,1830.96,1805.56,1836.03,2190141600.0,22452103512.0,1.0,1811.24
2013-03-20,1833.36,1905.77,1833.36,1905.89,4086617500.0,42074808028.0,1.0,1830.96
2013-03-21,1906.85,1902.3,1890.54,1912.96,2651912500.0,28194018211.0,1.0,1905.77
2013-03-22,1900.15,1904.46,1893.17,1913.27,2003806400.0,20587012339.0,1.0,1902.3
