date,etf1_position,etf2_position,total_position,cash,calculate_returns_etf1,calculate_returns_etf2
2021-03-08,0,0,0,1739983.262,-0.18759642085776,0.05981595092024528
2021-03-09,0,0,0,1739983.262,-0.2143738433066008,0.055384615384615435
2021-03-10,0,0,0,1739983.262,-0.1795685279187818,0.04454685099846394
2021-03-11,0,0,0,1739983.262,-0.1629816803537587,0.08087091757387237
2021-03-12,0,0,0,1739983.262,-0.13052011776251227,0.10591900311526471
2021-03-15,0,0,0,1739983.262,-0.15648728953449975,0.10015408320493058
2021-03-16,0,0,0,1739983.262,-0.15608638743455494,0.10819165378670781
2021-03-17,0,0,0,1739983.262,-0.16388710711994858,0.10371517027863769
2021-03-18,0,0,0,1739983.262,-0.1468126207340631,0.1121495327102803
2021-03-19,0,0,0,1739983.262,-0.16752743705616518,0.08282208588957045
2021-03-22,0,0,0,1739983.262,-0.15466926070038906,0.09509202453987721
2021-03-23,0,0,0,1739983.262,-0.1995654872749844,0.0764525993883791
2021-03-24,0,0,0,1739983.262,-0.22775584573337382,0.05927051671732511
2021-03-25,0,0,0,1739983.262,-0.198313554028732,0.03571428571428558
2021-03-26,0,0,0,1739983.262,-0.1640378548895899,0.026354319180087706
2021-03-29,0,0,0,1739983.262,-0.13027704485488126,0.031837916063675864
2021-03-30,0,0,0,1739983.262,-0.11166500498504482,0.040995607613469855
2021-03-31,0,0,0,1739983.262,-0.08230027548209362,0.04105571847507319
2021-04-01,0,0,0,1739983.262,-0.05559416261292569,0.022922636103151886
2021-04-02,0,0,0,1739983.262,-0.020611229566453546,0.03357664233576629
2021-04-06,0,0,0,1739983.262,-0.0566689702833449,0.021645021645021665
2021-04-07,0,0,0,1739983.262,-0.05316544246239949,0.03478260869565221
2021-04-08,0,0,0,1739983.262,-0.05931034482758611,0.011347517730496465
2021-04-09,0,2440369,2440369,4880.903000000166,-0.02217375499818246,0.009915014164305958
2021-04-12,0,2447214,2447214,0.41800000016610284,-0.05230880230880232,0.025899280575539592
2021-04-13,0,2447214,2447214,0.41800000016610284,0.006076718571971141,0.026049204052098433
2021-04-14,0,2447214,2447214,0.41800000016610284,0.06281900274833124,0.037900874635568384
2021-04-15,643670,0,643670,10173.34999999986,0.043310131477184884,0.04852941176470576
2021-04-16,0,2449922,2449922,5793.653999999864,0.014339622641509531,0.04172661870503601
2021-04-19,0,2457924,2457924,0.20599999986461626,0.052671181339352946,0.01690140845070424
2021-04-20,634246,0,634246,3885.561999999918,0.09236790606653611,0.007002801120448186
2021-04-21,635638,0,635638,33.897999999918284,0.09112058937572697,0.006973500697350076
2021-04-22,635638,0,635638,33.897999999918284,0.08822401227464517,0.01262272089761572
2021-04-23,635649,0,635649,2.8339999999182837,0.09094339622641513,0.0028011204481792743
2021-04-26,635649,0,635649,2.8339999999182837,0.11012020162853811,0.01133144475920681
2021-04-27,635649,0,635649,2.8339999999182837,0.10625239739163778,-0.004201680672268912
2021-04-28,635649,0,635649,2.8339999999182837,0.1434664598681658,0.01846590909090911
2021-04-29,635649,0,635649,2.8339999999182837,0.1608336610302791,0.04017216642754667
2021-04-30,635649,0,635649,2.8339999999182837,0.16439423451499793,0.03304597701149428
2021-05-06,635649,0,635649,2.8339999999182837,0.09584905660377359,0.03708987161198292
2021-05-07,635649,0,635649,2.8339999999182837,0.06901782328403487,0.026647966339410963
2021-05-10,635650,0,635650,0.013999999918283823,0.0576131687242798,0.039381153305203975
2021-05-11,635650,0,635650,0.013999999918283823,0.0592870544090056,0.03380281690140848
2021-05-12,635650,0,635650,0.013999999918283823,0.05408388520971311,0.0378151260504202
2021-05-13,635650,0,635650,0.013999999918283823,0.03229317851959376,0.04378531073446332
2021-05-14,0,2447123,2447123,2733.9210000000894,0.07582417582417578,0.04237288135593224
2021-05-17,0,0,0,1808710.695,0.11082379017362404,0.03921568627450984
2021-05-18,601500,0,601500,4210.695000000065,0.09530791788856297,0.04347826086956526
2021-05-19,602909,0,602909,33.0100000000657,0.1197026022304833,0.042075736325385735
2021-05-20,602919,0,602919,2.9800000000657008,0.15835553863722893,0.02805049088359049
2021-05-21,602919,0,602919,2.9800000000657008,0.13703284258210646,0.03808180535966153
2021-05-24,602919,0,602919,2.9800000000657008,0.12153675655707433,0.04073033707865172
2021-05-25,602919,0,602919,2.9800000000657008,0.15604151223128254,0.054698457223001457
2021-05-26,602919,0,602919,2.9800000000657008,0.15141369047619047,0.04419889502762435
2021-05-27,602919,0,602919,2.9800000000657008,0.11436740528949244,0.05401662049861501
2021-05-28,602919,0,602919,2.9800000000657008,0.11823719097097818,0.0625869262865091
2021-05-31,602919,0,602919,2.9800000000657008,0.1353944562899786,0.06509695290858732
2021-06-01,602919,0,602919,2.9800000000657008,0.12372224180472328,0.06509695290858732
2021-06-02,602919,0,602919,2.9800000000657008,0.08370805949498443,0.0754189944134079
2021-06-03,602919,0,602919,2.9800000000657008,0.08243101641634656,0.0756302521008404
2021-06-04,602919,0,602919,2.9800000000657008,0.08911234396671294,0.07876230661040795
2021-06-07,602919,0,602919,2.9800000000657008,0.05866395388267211,0.05857740585774064
2021-06-08,602919,0,602919,2.9800000000657008,0.05182926829268294,0.04965517241379315
2021-06-09,602919,0,602919,2.9800000000657008,0.03713616594178662,0.0598052851182198
2021-06-10,0,2452823,2452823,6674.010000000242,0.09469696969696967,0.048143053645116965
2021-06-11,0,0,0,1875725.1360000004,0.13338063142958492,0.038251366120218615
2021-06-15,587081,0,587081,2349.665000000503,0.11602405376724438,0.017591339648173224
2021-06-16,587825,0,587825,9.785000000502805,0.07120085015940492,0.02316076294277931
2021-06-17,587828,0,587828,0.7160000005028042,0.0778359511343804,0.013495276653171403
2021-06-18,587828,0,587828,0.7160000005028042,0.10263620386643227,0.010825439783491214
2021-06-21,587828,0,587828,0.7160000005028042,0.07797071842015665,0.010840108401084021
2021-06-22,587828,0,587828,0.7160000005028042,0.05553708014632518,0.010781671159029659
2021-06-23,587828,0,587828,0.7160000005028042,0.07663989290495318,0.020161290322580662
2021-06-24,587828,0,587828,0.7160000005028042,0.0537848605577689,0.021534320323014826
2021-06-25,587828,0,587828,0.7160000005028042,0.06572461386789344,0.03547066848567534
2021-06-28,587828,0,587828,0.7160000005028042,0.0972775564409031,0.01630434782608697
2021-06-29,587828,0,587828,0.7160000005028042,0.08596837944664036,0.0067476383265857014
2021-06-30,587828,0,587828,0.7160000005028042,0.08143635780698942,-0.002659574468085109
2021-07-01,587828,0,587828,0.7160000005028042,0.07915993537964447,0.001322751322751324
2021-07-02,587828,0,587828,0.7160000005028042,0.03495830660679923,-0.01708278580814719
2021-07-05,587828,0,587828,0.7160000005028042,0.04133290611983339,-0.024869109947644002
2021-07-06,587828,0,587828,0.7160000005028042,0.0003129890453835161,-0.028608582574772456
2021-07-07,587828,0,587828,0.7160000005028042,0.036700125470514426,-0.03120936280884268
2021-07-08,587828,0,587828,0.7160000005028042,0.060325566549632954,-0.0467532467532468
2021-07-09,587828,0,587828,0.7160000005028042,0.06582768635043554,-0.0377604166666667
2021-07-12,587828,0,587828,0.7160000005028042,0.09105380452085324,-0.04041720990873537
2021-07-13,587828,0,587828,0.7160000005028042,0.09256886611146706,-0.02503293807641636
2021-07-14,587828,0,587828,0.7160000005028042,0.08921095008051534,-0.019710906701708296
2021-07-15,587828,0,587828,0.7160000005028042,0.10612903225806443,-0.02230971128608926
2021-07-16,587828,0,587828,0.7160000005028042,0.04687008493236868,-0.017060367454068255
2021-07-19,587828,0,587828,0.7160000005028042,0.04851330203442888,-0.011842105263157906
2021-07-20,587828,0,587828,0.7160000005028042,0.0637083993660856,-0.003989361702127663
2021-07-21,587828,0,587828,0.7160000005028042,0.14252645502645503,-0.005326231691078567
2021-07-22,587828,0,587828,0.7160000005028042,0.11334196891191713,0.0
2021-07-23,587828,0,587828,0.7160000005028042,0.07331845712464137,0.0013386880856760387
2021-07-26,587828,0,587828,0.7160000005028042,0.03284902084649403,-0.02010723860589814
2021-07-27,587828,0,587828,0.7160000005028042,-0.010712035286704414,-0.052000000000000046
2021-07-28,587828,0,587828,0.7160000005028042,-0.010568852968604369,-0.06455862977602114
2021-07-29,587828,0,587828,0.7160000005028042,0.05797101449275367,-0.06324110671936764
2021-07-30,587828,0,587828,0.7160000005028042,0.026210299105766256,-0.06324110671936764
2021-08-02,587828,0,587828,0.7160000005028042,0.026626323751890963,-0.05213903743315513
2021-08-03,587828,0,587828,0.7160000005028042,0.020018198362147355,-0.05764075067024134
2021-08-04,587828,0,587828,0.7160000005028042,0.021642454788022517,-0.05466666666666672
2021-08-05,587828,0,587828,0.7160000005028042,0.0236526946107785,-0.06340819022457073
2021-08-06,587828,0,587828,0.7160000005028042,0.04927176944530532,-0.04679144385026742
2021-08-09,587828,0,587828,0.7160000005028042,0.03015384615384611,-0.028187919463087272
2021-08-10,587828,0,587828,0.7160000005028042,0.0531914893617021,-0.03078982597054889
2021-08-11,587828,0,587828,0.7160000005028042,0.006354009077155796,-0.002684563758389264
2021-08-12,587828,0,587828,0.7160000005028042,-0.012642986152920005,0.0245231607629428
2021-08-13,0,0,0,1916319.9960000005,-0.0163487738419618,0.01623815967523682
2021-08-16,0,0,0,1916319.9960000005,-0.06448789028304643,0.0285326086956522
2021-08-17,0,0,0,1916319.9960000005,-0.08355321020228676,0.008108108108108115
2021-08-18,0,0,0,1916319.9960000005,-0.06564163217031341,0.004021447721179628
2021-08-19,0,0,0,1916319.9960000005,-0.0734908136482939,-0.005369127516778528
2021-08-20,0,0,0,1916319.9960000005,-0.06850961538461532,-0.009345794392523372
2021-08-23,0,0,0,1916319.9960000005,-0.046268656716417986,-0.0026631158455392833
2021-08-24,0,0,0,1916319.9960000005,-0.039034564958283606,0.0026702269692923924
2021-08-25,0,0,0,1916319.9960000005,-0.061939218523878424,0.012048192771084348
2021-08-26,0,0,0,1916319.9960000005,-0.07969749854566609,0.019973368841544624
2021-08-27,0,0,0,1916319.9960000005,-0.062073062073062096,0.02941176470588238
2021-08-30,0,0,0,1916319.9960000005,-0.03241590214067274,0.05882352941176476
2021-08-31,0,0,0,1916319.9960000005,-0.010828025477707085,0.12517580872011264
2021-09-01,0,0,0,1916319.9960000005,-0.027961043041156132,0.11830985915492968
2021-09-02,0,0,0,1916319.9960000005,-0.0929124478856463,0.1378340365682139
2021-09-03,0,0,0,1916319.9960000005,-0.09555288461538464,0.13502109704641363
2021-09-06,0,0,0,1916319.9960000005,-0.07780725022104326,0.1466854724964739
2021-09-07,0,0,0,1916319.9960000005,-0.06422836752899203,0.1806543385490754
2021-09-08,0,0,0,1916319.9960000005,-0.09373186302959952,0.19322990126939354
2021-09-09,0,0,0,1916319.9960000005,-0.08569757238958764,0.22990126939351205
2021-09-10,0,0,0,1916319.9960000005,-0.07412876550502077,0.21318373071528757
2021-09-13,0,0,0,1916319.9960000005,-0.07556750298685773,0.2251381215469614
2021-09-14,0,0,0,1916319.9960000005,-0.0671420083184789,0.2002762430939227
2021-09-15,0,0,0,1916319.9960000005,-0.06644618159951897,0.1641991924629879
2021-09-16,0,0,0,1916319.9960000005,-0.07469512195121941,0.14361702127659573
2021-09-17,0,0,0,1916319.9960000005,-0.04678362573099419,0.12250332889480689
2021-09-22,0,0,0,1916319.9960000005,-0.04304429195258887,0.14663143989431968
2021-09-23,0,0,0,1916319.9960000005,-0.012795905310300715,0.16353887399463807
2021-09-24,0,0,0,1916319.9960000005,-0.016139240506329162,0.11615487316421891
2021-09-27,0,0,0,1916319.9960000005,-0.014793830657853368,0.10526315789473678
2021-09-28,0,0,0,1916319.9960000005,0.004516129032257996,0.13207547169811318
2021-09-29,0,0,0,1916319.9960000005,-0.03505477308294199,0.09212283044058739
2021-09-30,0,0,0,1916319.9960000005,-0.02387596899224805,0.10386151797603191
2021-10-08,0,0,0,1916319.9960000005,-0.03178031471767979,0.0859788359788359
2021-10-11,0,0,0,1916319.9960000005,-0.021491782553729473,0.0822454308093994
2021-10-12,0,0,0,1916319.9960000005,-0.03673210892970238,0.07012987012987004
2021-10-13,0,0,0,1916319.9960000005,-0.0173830594184577,0.04521963824289409
2021-10-14,0,0,0,1916319.9960000005,0.0019317450096587984,0.0037500000000000033
2021-10-15,0,2386450,2386450,2387.096000000369,0.02650290885585013,0.016372795969773313
2021-10-18,0,0,0,1928252.2460000005,0.04136572554169414,0.01730531520395538
2021-10-19,0,0,0,1928252.2460000005,0.06013289036544853,0.019826517967781787
2021-10-20,604278,0,604278,605.4260000004433,0.017897091722595095,-0.007380073800737878
2021-10-21,604278,0,604278,605.4260000004433,0.008579599618684505,-0.012048192771084348
2021-10-22,604468,0,604468,0.46600000044327317,0.019852705731668214,-0.012048192771084348
2021-10-25,604468,0,604468,0.46600000044327317,0.03518873960332704,-0.053191489361702045
2021-10-26,604468,0,604468,0.46600000044327317,0.027432216905901214,-0.08715596330275224
2021-10-27,604468,0,604468,0.46600000044327317,0.035541195476575076,-0.09595375722543348
2021-10-28,604468,0,604468,0.46600000044327317,0.012101910828025418,-0.14430665163472378
2021-10-29,604468,0,604468,0.46600000044327317,0.04637681159420294,-0.13118527042577674
2021-11-01,604468,0,604468,0.46600000044327317,0.062273476112026376,-0.1190751445086705
2021-11-02,604468,0,604468,0.46600000044327317,0.04229899903132071,-0.13488372093023254
2021-11-03,604468,0,604468,0.46600000044327317,0.050195567144719656,-0.09845788849347564
2021-11-04,604468,0,604468,0.46600000044327317,0.05638366817887231,-0.1278801843317972
2021-11-05,604468,0,604468,0.46600000044327317,0.04470890961724035,-0.14516129032258066
2021-11-08,604468,0,604468,0.46600000044327317,0.047284345047923365,-0.11124401913875595
2021-11-09,604468,0,604468,0.46600000044327317,0.05973025048169555,-0.09401709401709397
2021-11-10,604468,0,604468,0.46600000044327317,0.06908855011352566,-0.11904761904761903
2021-11-11,604468,0,604468,0.46600000044327317,0.055908513341804224,-0.07701711491442537
2021-11-12,604468,0,604468,0.46600000044327317,0.05927342256214148,-0.09408926417370321
2021-11-15,604468,0,604468,0.46600000044327317,0.06427648578811364,-0.08769792935444574
2021-11-16,604468,0,604468,0.46600000044327317,0.0788954635108482,-0.10253317249698428
2021-11-17,604468,0,604468,0.46600000044327317,0.06690254100997112,-0.09830097087378636
2021-11-18,604468,0,604468,0.46600000044327317,0.05205655526992285,-0.08405438813349822
2021-11-19,604468,0,604468,0.46600000044327317,0.043136020151133506,-0.06351183063511837
2021-11-22,604468,0,604468,0.46600000044327317,0.06967213114754087,-0.06815365551425037
2021-11-23,604468,0,604468,0.46600000044327317,0.05922908179254154,-0.07776427703523688
2021-11-24,604468,0,604468,0.46600000044327317,0.0555729984301413,-0.0656136087484811
2021-11-25,604468,0,604468,0.46600000044327317,0.06112161310649022,-0.049566294919454815
2021-11-26,604468,0,604468,0.46600000044327317,0.05620094191522757,-0.07804878048780482
2021-11-29,604468,0,604468,0.46600000044327317,0.047280593325092574,-0.06491885143570542
2021-11-30,604468,0,604468,0.46600000044327317,0.05122632722756909,-0.060301507537688495
2021-12-01,604468,0,604468,0.46600000044327317,0.04992199687987524,-0.030690537084399002
