,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
574,sz399994,信息安全,1860.365,15.496,0.84,1844.869,1846.293,1863.214,1840.754,876651367,20000193948
575,sz399995,基建工程,4084.293,35.791,0.884,4048.502,4043.196,4108.479,4017.887,2261739927,11910570985
576,sz399996,智能家居,3240.371,34.806,1.086,3205.565,3207.46,3240.96,3205.023,2087871124,42791672042
577,sz399997,中证白酒,17099.791,461.088,2.771,16638.703,16503.65,17193.592,16503.65,258467932,29789699334
578,sz399998,中证煤炭,2348.134,7.536,0.322,2340.598,2347.431,2420.505,2319.606,2513272897,25966274184
579,sz980001,,1514.516,21.675,1.452,1492.841,1496.733,1515.067,1496.31,2068083584,70979195099
580,sz980017,,11396.509,38.564,0.34,11357.945,11344.928,11431.552,11273.328,446672932,27570010942
581,sz980023,,2717.949,17.323,0.641,2700.626,2700.345,2718.421,2689.215,511425826,15984819117
582,sz980068,,2542.856,24.875,0.988,2517.981,2516.461,2550.558,2509.906,1180618341,13272555008
583,sz988006,,3512.447,40.268,1.16,3472.179,3496.884,3517.588,3482.581,1394492962,83689141169
584,sz988007,,3516.334,41.207,1.186,3475.127,3500.466,3521.32,3486.244,1394492962,10760130852
585,sz988106,,3741.537,42.894,1.16,3698.643,3724.959,3747.014,3709.723,1394492962,83689141169
586,sz988107,,3745.664,43.895,1.186,3701.769,3728.76,3750.975,3713.611,1394492962,10760130852
587,sz988201,,1655.417,23.691,1.452,1631.726,1635.98,1656.02,1635.517,2068083584,70979195099
