,open,close,high,low,volume,money
2007-01-16 14:30:00,1972.87,1986.04,1986.23,1967.05,280250000.0,2586130000.0
2007-01-16 15:00:00,1986.12,1992.1,1992.81,1980.78,362284000.0,3143080000.0
2007-01-17 10:00:00,1997.81,1986.87,2001.37,1979.12,456038700.0,4049308000.0
2007-01-17 10:30:00,1986.77,2011.18,2011.76,1986.77,430922400.0,3696565000.0
2007-01-17 11:00:00,2011.42,2003.17,2012.99,1995.99,312098900.0,2729367000.0
2007-01-17 11:30:00,2002.81,2025.46,2025.82,2000.0,387079000.0,3270270000.0
2007-01-17 13:30:00,2026.28,2000.82,2033.85,2000.82,439377000.0,3923500000.0
2007-01-17 14:00:00,2000.66,1968.62,2001.43,1968.62,381888000.0,3621090000.0
2007-01-17 14:30:00,1968.35,1950.36,1968.64,1927.12,506405000.0,4592610000.0
2007-01-17 15:00:00,1950.61,1955.74,1971.35,1950.61,367478000.0,3378110000.0
2007-01-18 10:00:00,1942.99,1926.78,1964.49,1925.64,447305500.0,3902002000.0
2007-01-18 10:30:00,1927.0,1939.68,1944.3,1924.32,319339900.0,2986099000.0
2007-01-18 11:00:00,1938.88,1893.23,1940.11,1886.12,564377600.0,4625299000.0
2007-01-18 11:30:00,1892.83,1900.29,1900.29,1884.39,391887000.0,3170970000.0
2007-01-18 13:30:00,1901.01,1903.01,1903.01,1886.31,323807000.0,2672680000.0
2007-01-18 14:00:00,1903.2,1921.46,1923.13,1900.55,300153000.0,2661850000.0
2007-01-18 14:30:00,1921.78,1935.16,1935.16,1913.11,306782000.0,2856070000.0
2007-01-18 15:00:00,1935.34,1936.92,1949.74,1934.84,431463000.0,3967830000.0
2007-01-19 10:00:00,1937.04,1950.25,1954.22,1937.04,456895700.0,4139576000.0
2007-01-19 10:30:00,1949.5,1973.71,1973.89,1949.5,409876900.0,3676619000.0
2007-01-19 11:00:00,1974.11,1988.17,1993.33,1974.0,370158400.0,3649005000.0
2007-01-19 11:30:00,1988.2,1984.53,1988.94,1974.01,256025000.0,2375830000.0
2007-01-19 13:30:00,1984.7,1988.72,1991.48,1984.7,290772000.0,2635920000.0
2007-01-19 14:00:00,1988.9,1975.85,1990.16,1967.27,319840000.0,2787540000.0
2007-01-19 14:30:00,1976.12,1986.83,1989.98,1975.85,351514000.0,2916780000.0
2007-01-19 15:00:00,1986.55,1995.53,1997.16,1986.55,456758000.0,3823310000.0
2007-01-22 10:00:00,2020.0,2049.15,2049.15,2020.0,687434400.0,6076518000.0
2007-01-22 10:30:00,2048.95,2050.03,2058.94,2048.49,560662600.0,4583562000.0
2007-01-22 11:00:00,2050.37,2060.56,2060.56,2050.37,376587000.0,3369860000.0
2007-01-22 11:30:00,2060.2,2063.2,2070.63,2060.15,358633000.0,3110500000.0
2007-01-22 13:30:00,2063.57,2047.4,2070.65,2046.9,425602000.0,3721720000.0
2007-01-22 14:00:00,2047.7,2060.02,2060.56,2047.1,329446000.0,2909910000.0
2007-01-22 14:30:00,2060.19,2065.76,2065.76,2054.12,377435000.0,3128380000.0
2007-01-22 15:00:00,2065.72,2075.54,2076.69,2064.84,513992800.0,4117150000.0
2007-01-23 10:00:00,2095.22,2068.86,2101.33,2068.57,907832500.0,7936977000.0
2007-01-23 10:30:00,2068.98,2095.8,2095.8,2065.15,552097500.0,5118913000.0
2007-01-23 11:00:00,2095.97,2060.51,2099.63,2060.51,475206000.0,4497200000.0
2007-01-23 11:30:00,2061.16,2038.92,2077.01,2038.92,381031000.0,3709720000.0
2007-01-23 13:30:00,2039.22,2059.15,2059.23,2026.45,392605000.0,3839390000.0
2007-01-23 14:00:00,2059.57,2072.58,2078.91,2051.65,329572000.0,3244770000.0
2007-01-23 14:30:00,2072.15,2087.33,2098.22,2072.12,370612000.0,3571570000.0
2007-01-23 15:00:00,2087.84,2105.99,2113.34,2087.82,857066000.0,7492950000.0
2007-01-24 10:00:00,2111.71,2141.69,2143.61,2106.14,797045800.0,8216624000.0
2007-01-24 10:30:00,2141.73,2148.22,2170.16,2141.73,540887200.0,5748906000.0
2007-01-24 11:00:00,2147.97,2152.41,2153.95,2129.7,349999000.0,3570570000.0
2007-01-24 11:30:00,2152.3,2151.83,2155.97,2142.51,270803000.0,2525670000.0
2007-01-24 13:30:00,2152.67,2141.85,2162.49,2134.03,400071000.0,3615590000.0
2007-01-24 14:00:00,2141.43,2161.44,2161.49,2141.43,351523000.0,3351310000.0
2007-01-24 14:30:00,2161.52,2158.43,2162.5,2150.58,379014000.0,3551300000.0
2007-01-24 15:00:00,2158.44,2145.69,2162.69,2130.64,496651000.0,4679530000.0
2007-01-25 10:00:00,2124.17,2155.05,2155.37,2089.1,694205900.0,6808484000.0
2007-01-25 10:30:00,2154.17,2124.98,2156.09,2104.15,666356100.0,6577866000.0
2007-01-25 11:00:00,2126.32,2133.42,2137.08,2119.85,298668000.0,3052490000.0
2007-01-25 11:30:00,2133.98,2151.18,2153.1,2121.8,300152000.0,3207040000.0
2007-01-25 13:30:00,2150.47,2143.78,2150.67,2136.9,205920000.0,2091350000.0
2007-01-25 14:00:00,2143.83,2156.28,2160.89,2143.57,254237000.0,2591270000.0
2007-01-25 14:30:00,2156.48,2122.39,2156.48,2121.54,336903000.0,3140230000.0
2007-01-25 15:00:00,2121.96,2098.18,2124.46,2093.49,515865000.0,4807540000.0
2007-01-26 10:00:00,2066.51,2095.9,2100.25,2054.38,487413700.0,4629962000.0
2007-01-26 10:30:00,2096.31,2070.21,2099.8,2069.61,446692500.0,4286343000.0
2007-01-26 11:00:00,2070.5,2032.32,2080.98,2026.61,494725800.0,4489365000.0
2007-01-26 11:30:00,2035.2,2070.78,2070.78,2034.59,308739000.0,2770890000.0
2007-01-26 13:30:00,2071.63,2068.95,2072.74,2062.27,238164000.0,2316980000.0
2007-01-26 14:00:00,2069.36,2092.65,2102.4,2068.94,307550000.0,2976830000.0
2007-01-26 14:30:00,2092.24,2131.46,2131.57,2088.84,397385000.0,3847310000.0
2007-01-26 15:00:00,2131.55,2164.51,2175.97,2130.04,566488000.0,5376010000.0
2007-01-29 10:00:00,2181.87,2209.05,2213.81,2179.34,926432400.0,8094424000.0
2007-01-29 10:30:00,2209.1,2216.68,2238.05,2203.21,648086600.0,5836176000.0
2007-01-29 11:00:00,2216.57,2192.72,2218.32,2175.84,396524000.0,3928020000.0
2007-01-29 11:30:00,2193.71,2184.5,2198.65,2181.68,252941000.0,2648430000.0
2007-01-29 13:30:00,2184.69,2201.99,2207.34,2184.69,499409000.0,3909320000.0
2007-01-29 14:00:00,2202.15,2197.33,2205.69,2194.6,277547000.0,2910590000.0
2007-01-29 14:30:00,2197.18,2211.89,2212.09,2196.12,268243000.0,2849020000.0
2007-01-29 15:00:00,2212.9,2222.41,2225.59,2212.68,483047000.0,4494480000.0
2007-01-30 10:00:00,2232.2,2236.13,2238.69,2226.19,690691400.0,5335465000.0
2007-01-30 10:30:00,2236.51,2229.19,2251.57,2229.19,501660600.0,4207314000.0
2007-01-30 11:00:00,2229.34,2213.79,2236.84,2196.47,599067000.0,6099031000.0
2007-01-30 11:30:00,2213.62,2207.37,2214.68,2196.08,304126000.0,3096570000.0
2007-01-30 13:30:00,2207.96,2212.14,2213.09,2196.35,237449000.0,2353620000.0
2007-01-30 14:00:00,2213.44,2217.44,2231.75,2212.04,330983000.0,3047250000.0
2007-01-30 14:30:00,2217.61,2212.39,2222.65,2211.69,233956000.0,2276540000.0
2007-01-30 15:00:00,2211.45,2197.19,2212.34,2177.52,567507000.0,4935030000.0
2007-01-31 10:00:00,2186.42,2165.02,2193.83,2165.01,474565400.0,3835795000.0
2007-01-31 10:30:00,2164.96,2163.84,2166.0,2149.43,532978600.0,4347490000.0
2007-01-31 11:00:00,2163.6,2172.37,2178.6,2157.72,447735000.0,3662495000.0
2007-01-31 11:30:00,2172.15,2147.48,2173.14,2145.39,306231000.0,2720870000.0
2007-01-31 13:30:00,2147.71,2117.61,2147.71,2095.47,489107000.0,4387430000.0
2007-01-31 14:00:00,2117.8,2084.06,2124.43,2083.35,372970000.0,3362160000.0
2007-01-31 14:30:00,2083.66,2087.61,2102.42,2075.02,388139000.0,3473350000.0
2007-01-31 15:00:00,2087.86,2052.91,2088.27,2034.52,637120000.0,5481570000.0
2007-02-01 10:00:00,2021.44,2047.9,2052.81,2015.27,520843400.0,4477972000.0
2007-02-01 10:30:00,2047.75,2042.71,2063.15,2041.18,286482200.0,2752011000.0
2007-02-01 11:00:00,2043.22,1990.51,2043.22,1989.85,391653400.0,3433547000.0
2007-02-01 11:30:00,1989.77,2012.85,2013.26,1982.41,299369000.0,2640250000.0
2007-02-01 13:30:00,2014.06,2037.07,2037.45,2013.47,248891000.0,2263350000.0
2007-02-01 14:00:00,2037.62,2043.3,2050.23,2030.36,253450000.0,2258070000.0
2007-02-01 14:30:00,2042.87,2047.69,2064.61,2042.87,357191000.0,2887300000.0
2007-02-01 15:00:00,2047.5,2051.66,2059.52,2046.95,342161000.0,3013020000.0
2007-02-02 10:00:00,2052.95,2006.62,2056.85,2006.59,371140800.0,3400167000.0
2007-02-02 10:30:00,2006.29,1994.1,2010.24,1981.45,355377900.0,3330006000.0
2007-02-02 11:00:00,1994.32,1994.79,1997.17,1980.96,239257400.0,2238624000.0
2007-02-02 11:30:00,1994.87,1996.88,2013.27,1994.87,210123900.0,1886463000.0
2007-02-02 13:30:00,1995.96,1990.91,1998.88,1980.2,242808000.0,2215830000.0
2007-02-02 14:00:00,1990.48,1985.87,1997.52,1985.67,244426000.0,2162130000.0
2007-02-02 14:30:00,1986.23,1946.19,1986.23,1945.35,430606000.0,3715750000.0
2007-02-02 15:00:00,1945.53,1954.97,1960.02,1945.48,447518000.0,3843380000.0
2007-02-05 10:00:00,1943.06,1910.87,1956.79,1910.87,404428400.0,3613627000.0
2007-02-05 10:30:00,1910.43,1928.65,1928.65,1899.68,343625600.0,3100650000.0
2007-02-05 11:00:00,1928.52,1932.75,1943.49,1925.33,206472800.0,1945142000.0
2007-02-05 11:30:00,1932.72,1928.59,1933.67,1923.8,126054200.0,1241771000.0
2007-02-05 13:30:00,1928.92,1941.2,1945.91,1928.12,199706000.0,1741440000.0
2007-02-05 14:00:00,1941.3,1922.52,1941.3,1922.3,176613000.0,1613110000.0
2007-02-05 14:30:00,1922.46,1917.96,1923.35,1906.56,254288000.0,2042870000.0
2007-02-05 15:00:00,1917.53,1906.03,1924.0,1905.88,313337000.0,2619770000.0
2007-02-06 10:00:00,1901.58,1859.3,1908.95,1850.6,664162900.0,6040121000.0
2007-02-06 10:30:00,1858.79,1835.27,1858.87,1825.53,574693100.0,4802519000.0
2007-02-06 11:00:00,1834.8,1867.78,1868.51,1833.97,399987000.0,3791910000.0
2007-02-06 11:30:00,1866.79,1883.46,1897.76,1866.79,325385000.0,2982260000.0
2007-02-06 13:30:00,1886.23,1890.02,1903.78,1884.16,309900000.0,2731260000.0
2007-02-06 14:00:00,1889.92,1884.46,1890.23,1871.16,249798000.0,2064670000.0
2007-02-06 14:30:00,1884.45,1917.45,1918.78,1884.45,328126000.0,2758000000.0
2007-02-06 15:00:00,1917.25,1954.15,1955.35,1917.25,454148000.0,3952340000.0
2007-02-07 10:00:00,1964.26,1987.69,1996.63,1964.26,826436600.0,7598900000.0
2007-02-07 10:30:00,1985.36,2018.99,2020.36,1984.91,487578400.0,4539810000.0
2007-02-07 11:00:00,2018.99,2029.02,2029.54,2013.16,369103000.0,3462360000.0
2007-02-07 11:30:00,2029.03,2021.25,2029.99,2012.72,325957000.0,3306110000.0
2007-02-07 13:30:00,2021.94,2009.36,2026.39,2008.9,278476000.0,2818810000.0
2007-02-07 14:00:00,2009.26,1995.06,2016.34,1989.09,266796000.0,2609160000.0
2007-02-07 14:30:00,1995.63,1984.95,2003.9,1969.56,333771000.0,3039740000.0
2007-02-07 15:00:00,1986.06,2001.37,2002.2,1980.14,308674000.0,2812500000.0
2007-02-08 10:00:00,2006.75,1982.96,2008.47,1980.32,419861900.0,3850378000.0
2007-02-08 10:30:00,1983.54,2009.84,2013.85,1983.11,343181800.0,3291407000.0
2007-02-08 11:00:00,2010.04,2001.5,2016.72,2000.54,255296300.0,2479237000.0
2007-02-08 11:30:00,2001.54,2009.1,2011.21,2001.54,176351000.0,1755398000.0
2007-02-08 13:30:00,2009.95,2017.91,2019.96,2009.36,231770000.0,2187570000.0
2007-02-08 14:00:00,2019.06,2020.5,2031.54,2014.57,254661000.0,2380850000.0
2007-02-08 14:30:00,2020.71,2019.39,2023.35,2004.83,248340000.0,2311750000.0
2007-02-08 15:00:00,2019.29,2023.18,2024.46,2015.46,324352000.0,2912890000.0
2007-02-09 10:00:00,2024.9,2008.5,2027.71,2008.26,365417000.0,3408784000.0
2007-02-09 10:30:00,2008.04,2001.9,2017.02,2001.9,262231500.0,2489596000.0
2007-02-09 11:00:00,2002.13,1996.34,2008.09,1987.15,277309900.0,2464819000.0
2007-02-09 11:30:00,1996.56,1994.94,2000.37,1992.05,150042600.0,1415190000.0
2007-02-09 13:30:00,1995.46,2002.12,2010.55,1995.25,231458000.0,2132901000.0
2007-02-09 14:00:00,2002.29,1994.31,2005.03,1988.86,251774000.0,2365880000.0
2007-02-09 14:30:00,1994.66,2018.8,2018.9,1994.07,252173000.0,2448140000.0
2007-02-09 15:00:00,2018.79,2003.32,2019.9,2001.53,350349000.0,3231540000.0
2007-02-12 10:00:00,2004.22,2030.51,2034.11,2001.37,330732000.0,3098805000.0
2007-02-12 10:30:00,2030.64,2030.93,2038.86,2030.23,295693400.0,2844815000.0
2007-02-12 11:00:00,2030.72,2040.61,2040.85,2027.71,173260600.0,1650375000.0
2007-02-12 11:30:00,2040.37,2045.59,2046.58,2040.37,226243000.0,1956946000.0
2007-02-12 13:30:00,2045.6,2055.28,2055.78,2045.6,211774000.0,2020209000.0
2007-02-12 14:00:00,2055.49,2056.57,2064.5,2050.51,248085000.0,2396100000.0
2007-02-12 14:30:00,2056.07,2069.8,2070.72,2055.65,266103000.0,2971740000.0
2007-02-12 15:00:00,2069.66,2082.4,2082.53,2069.11,429031000.0,3850310000.0
2007-02-13 10:00:00,2091.3,2100.23,2102.49,2088.27,357555800.0,3235945000.0
2007-02-13 10:30:00,2100.03,2110.05,2112.35,2096.1,289739700.0,2735493000.0
2007-02-13 11:00:00,2113.79,2101.49,2113.79,2093.08,281154000.0,2800411000.0
2007-02-13 11:30:00,2101.36,2104.38,2104.38,2095.79,173104500.0,1726481000.0
2007-02-13 13:30:00,2105.28,2084.34,2106.19,2081.37,213968000.0,1957870000.0
2007-02-13 14:00:00,2084.3,2101.86,2102.31,2084.3,186453000.0,1766030000.0
2007-02-13 14:30:00,2101.84,2106.58,2107.04,2099.82,185219000.0,1700690000.0
2007-02-13 15:00:00,2107.04,2108.63,2111.28,2103.35,285609000.0,2636780000.0
2007-02-14 10:00:00,2112.68,2131.64,2132.54,2106.2,322002100.0,3360616000.0
2007-02-14 10:30:00,2131.85,2135.71,2141.47,2129.11,313621000.0,3140469000.0
2007-02-14 11:00:00,2135.89,2148.8,2149.34,2134.7,274046400.0,2630634000.0
2007-02-14 11:30:00,2149.1,2157.27,2162.13,2146.5,273351500.0,2720281000.0
2007-02-14 13:30:00,2158.54,2165.16,2170.1,2158.54,295328000.0,2664750000.0
2007-02-14 14:00:00,2165.39,2167.74,2167.86,2161.79,184363000.0,1862670000.0
2007-02-14 14:30:00,2167.14,2178.22,2181.84,2166.89,438084000.0,3620050000.0
2007-02-14 15:00:00,2177.78,2174.0,2178.63,2165.93,345510000.0,3306760000.0
2007-02-15 10:00:00,2192.9,2227.25,2227.82,2192.9,538237000.0,5017806000.0
2007-02-15 10:30:00,2227.07,2231.81,2235.29,2225.96,397797100.0,3799902000.0
2007-02-15 11:00:00,2232.12,2227.01,2235.61,2226.05,320337900.0,3157712000.0
2007-02-15 11:30:00,2226.24,2213.36,2226.57,2206.91,321971000.0,2978880000.0
2007-02-15 13:30:00,2213.52,2217.08,2222.44,2213.52,198586000.0,1900900000.0
2007-02-15 14:00:00,2217.52,2221.02,2221.02,2207.75,230120000.0,2206760000.0
2007-02-15 14:30:00,2221.25,2223.47,2224.76,2218.75,246261000.0,2387590000.0
2007-02-15 15:00:00,2223.06,2235.45,2236.42,2223.06,460342000.0,4108230000.0
2007-02-16 10:00:00,2255.58,2232.16,2266.21,2231.84,506072900.0,4589777000.0
