,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
262,sz399235,建筑指数,1130.69,-6.667,-0.586,1137.357,1137.811,1138.028,1126.514,701456456,5357081842
263,sz399236,批零指数,1438.658,5.563,0.388,1433.095,1435.32,1445.142,1433.441,799156960,9127655990
264,sz399237,运输指数,1211.089,42.517,3.638,1168.572,1171.796,1214.561,1166.216,349035641,4037089439
265,sz399238,餐饮指数,972.07,17.962,1.883,954.108,949.701,981.666,945.532,20042626,103643128
266,sz399239,IT指数,1740.452,-1.035,-0.059,1741.487,1744.037,1744.913,1728.628,3253537965,42177959260
267,sz399240,金融指数,1447.277,13.528,0.944,1433.749,1435.408,1461.918,1426.177,1919048046,27565244639
268,sz399241,地产指数,2038.37,14.503,0.717,2023.867,2023.003,2049.91,2020.404,708708892,4965590217
269,sz399242,商务指数,1130.149,10.08,0.9,1120.069,1117.374,1132.523,1114.248,570040355,3928159548
270,sz399243,科研指数,2512.411,79.811,3.281,2432.6,2440.16,2515.573,2438.338,269766672,6259726656
271,sz399244,公共指数,699.918,5.256,0.757,694.662,694.418,702.451,694.055,613708478,4702467547
272,sz399248,文化指数,853.747,-12.608,-1.455,866.355,862.52,862.52,848.499,477532408,3211303752
273,sz399249,综企指数,2435.001,135.941,5.913,2299.06,2291.018,2463.866,2291.018,144945781,2982564670
274,sz399269,创质量,7645.489,86.348,1.142,7559.141,7588.405,7717.096,7474.792,1221875305,76181402619
275,sz399275,创医药,6242.146,104.986,1.711,6137.16,6170.81,6268.749,6102.887,581573046,29805417409
276,sz399276,创科技,7601.489,72.219,0.959,7529.27,7554.362,7679.862,7467.515,992790921,60844189274
277,sz399277,公共健康,3730.345,21.304,0.574,3709.041,3720.896,3741.029,3687.971,800477434,26731515411
278,sz399278,长江100,2552.273,37.707,1.5,2514.566,2523.487,2564.477,2512.578,4338899483,119367174911
279,sz399279,云科技50,3812.888,10.163,0.267,3802.725,3799.953,3831.74,3762.978,1453084475,44521008201
280,sz399280,生物50,4616.365,40.542,0.886,4575.823,4598.594,4634.078,4547.026,466907702,24780265292
281,sz399281,电子50,3946.91,17.876,0.455,3929.034,3938.529,3968.269,3906.505,1820708323,31028167533
282,sz399282,大数据50,4584.892,-19.316,-0.42,4604.208,4603.659,4603.659,4555.341,1181903050,18984758369
283,sz399283,机器人50,3778.756,3.159,0.084,3775.597,3796.629,3796.629,3737.816,1311725654,29446510003
284,sz399284,AI 50,3815.672,-21.643,-0.564,3837.315,3842.596,3842.596,3803.992,1215676187,24168781912
285,sz399285,物联网50,4846.115,20.476,0.424,4825.639,4825.106,4861.254,4782.542,1663986740,50310825038
286,sz399286,区块链50,3660.288,46.265,1.28,3614.023,3617.92,3670.394,3609.393,2665739453,34024265592
287,sz399290,深转交债,167.445,1.34,0.807,166.105,166.236,168.061,166.236,60006144,9060292736
288,sz399291,创精选88,4475.745,18.533,0.416,4457.212,4455.757,4497.581,4409.013,1610572785,36096278720
289,sz399292,民企发展,1290.636,8.342,0.651,1282.294,1285.957,1295.495,1281.344,9033233407,88835407321
290,sz399293,创业大盘,6634.741,81.922,1.25,6552.819,6571.656,6681.585,6502.398,1008755555,78174897744
291,sz399294,中小创Q,3970.217,39.214,0.998,3931.003,3932.836,3978.492,3922.672,1854272322,47933591682
292,sz399295,创业蓝筹,6415.247,77.336,1.22,6337.911,6375.677,6454.381,6292.256,754511005,44336792257
293,sz399296,创成长,8022.171,151.743,1.928,7870.428,7895.595,8092.51,7815.829,1299964849,79889136286
294,sz399297,新浪100,3759.353,-0.823,-0.022,3760.176,3760.518,3777.82,3752.426,1524059834,11653353591
295,sz399298,深信中高,184.0,0.03,0.016,183.97,183.99,184.0,183.972,4509441,450770883
296,sz399299,深信中低,208.703,0.061,0.029,208.642,208.671,208.703,208.671,1433460,142825633
297,sz399300,沪深300,4888.39,52.512,1.086,4835.878,4844.592,4906.204,4842.748,19788316300,417481426158
298,sz399301,深信用债,187.267,0.031,0.017,187.236,187.257,187.267,187.238,4509441,450770883
299,sz399302,深公司债,191.795,0.038,0.02,191.757,191.778,191.795,191.749,4509441,450770883
300,sz399303,国证2000,8554.368,54.472,0.641,8499.896,8505.119,8573.964,8480.422,32595410182,416090843059
301,sz399306,深证ETF,1795.901,21.506,1.212,1774.395,1777.758,1801.265,1772.522,9529808313,12694338757
302,sz399307,深证转债,304.089,1.946,0.644,302.143,302.391,304.931,302.391,216539179,38741013810
303,sz399310,国证A50,7841.969,86.454,1.115,7755.515,7772.879,7869.585,7769.798,3429234558,130260471063
304,sz399311,国证1000,5069.542,54.495,1.087,5015.047,5022.431,5083.989,5018.932,45993555031,762523432641
